# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
ago,182,907,veg_c (below ground biomass),44,11,1,118,11,32
ago,182,1001,soil_c (0-30 cms),42,50,10,170,40,60
ago,182,1001,veg_c (above ground biomass),26,14,1,93,14,36
ago,182,1001,veg_c (below ground biomass),16,9,0,58,9,23
ago,182,1002,soil_c (0-30 cms),46,50,10,170,40,60
ago,182,1002,veg_c (above ground biomass),22,15,1,98,15,38
ago,182,1002,veg_c (below ground biomass),12,8,0,53,8,21
ago,182,1003,soil_c (0-30 cms),40,50,10,170,40,60
ago,182,1003,veg_c (above ground biomass),23,14,1,91,14,36
ago,182,1003,veg_c (below ground biomass),15,9,0,60,9,23
ago,182,1004,soil_c (0-30 cms),40,50,10,170,40,60
ago,182,1004,veg_c (above ground biomass),12,13,1,86,13,33
ago,182,1004,veg_c (below ground biomass),9,10,1,65,10,25
ago,182,1005,soil_c (0-30 cms),44,50,10,170,40,60
ago,182,1005,veg_c (above ground biomass),25,15,1,97,15,38
ago,182,1005,veg_c (below ground biomass),14,8,0,54,8,21
ago,182,1006,soil_c (0-30 cms),29,50,10,170,40,60
ago,182,1006,veg_c (above ground biomass),27,14,1,91,14,35
ago,182,1006,veg_c (below ground biomass),18,9,0,60,9,23
ago,182,1007,soil_c (0-30 cms),74,50,10,170,40,60
ago,182,1007,veg_c (above ground biomass),35,11,1,70,11,27
ago,182,1007,veg_c (below ground biomass),41,13,1,81,13,32
ago,182,1201,soil_c (0-30 cms),33,20,10,200,20,40
ago,182,1201,veg_c (above ground biomass),24,19,1,65,19,40
ago,182,1201,veg_c (below ground biomass),32,25,1,86,25,52
ago,182,1202,soil_c (0-30 cms),32,20,10,200,20,40
ago,182,1202,veg_c (above ground biomass),24,20,1,68,20,42
ago,182,1202,veg_c (below ground biomass),29,24,1,83,24,51
ago,182,1203,soil_c (0-30 cms),38,20,10,200,20,40
ago,182,1203,veg_c (above ground biomass),18,19,1,64,19,39
ago,182,1203,veg_c (below ground biomass),24,25,1,87,25,53
ago,182,1204,soil_c (0-30 cms),44,20,10,200,20,40
ago,182,1204,veg_c (above ground biomass),6,18,1,60,18,37
ago,182,1204,veg_c (below ground biomass),9,27,1,91,27,56
ago,182,1205,soil_c (0-30 cms),23,20,10,200,20,40
ago,182,1205,veg_c (above ground biomass),24,19,1,65,19,40
ago,182,1205,veg_c (below ground biomass),32,25,1,86,25,53
ago,182,1206,soil_c (0-30 cms),23,20,10,200,20,40
ago,182,1206,veg_c (above ground biomass),25,18,1,62,18,38
ago,182,1206,veg_c (below ground biomass),36,26,1,89,26,55
ago,182,1207,soil_c (0-30 cms),23,20,10,200,20,40
ago,182,1207,veg_c (above ground biomass),23,20,1,68,20,42
ago,182,1207,veg_c (below ground biomass),27,24,1,83,24,51
ago,182,1401,soil_c (0-30 cms),11,10,10,80,10,10
ago,182,1401,veg_c (above ground biomass),4,1,1,46,1,5
ago,182,1401,veg_c (below ground biomass),2,1,0,26,1,3
ago,182,1402,soil_c (0-30 cms),21,10,10,80,10,10
ago,182,1402,veg_c (above ground biomass),5,1,1,42,1,5
ago,182,1402,veg_c (below ground biomass),3,1,1,30,1,3
ago,182,1403,soil_c (0-30 cms),13,10,10,80,10,10
ago,182,1403,veg_c (above ground biomass),11,2,1,50,2,6
ago,182,1403,veg_c (below ground biomass),5,1,0,22,1,3
ago,182,1405,soil_c (0-30 cms),18,10,10,80,10,10
ago,182,1405,veg_c (above ground biomass),6,1,1,42,1,5
ago,182,1405,veg_c (below ground biomass),4,1,1,31,1,4
